Jurusan;"

Jenis transportasi apa yang Anda gunakan untuk ke kampus? ";Selama menggunakan fasilitas parkir di Binus, permasalahan apa yang sering Anda jumpai?;"Menurut Anda fasilitas parkir di Binus Malang sudah aman?
";Dengan fasilitas yang sudah tersedia, apakah biaya parkir di Binus mahal?;Seberapa puas Anda dengan fasilitas parkir di Binus Malang?;" Diantara fasilitas di bawah,  mana yang paling sering anda gunakan?
";Kenapa anda lebih memilih fasilitas tersebut?;"Seberapa puas anda dengan fasilitas tangga/lift di Binus Malang?

";Ketika di kampus, apakah anda lebih sering beli makanan di dalam (kantin binus) atau diluar kampus?;Kenapa memilih pilihan di atas?;Seberapa puas anda dengan fasilitas kantin Binus Malang;Apakah anda sering menggunakan fasilitas discussion room (arjuno)?;"Selama menggunakan fasilitas discussion room, permasalahan apa yang sering anda
jumpai?";Seberapa puas anda dengan fasilitas discussion room?;Apakah wifi di Binus sudah cepat dan stabil?;Seberapa puas Anda dengan fasilitas internet di Binus Malang?;Apakah kapasitas toilet di Binus Malang sudah memadai?;Apakah toilet di Binus Malang sudah bersih?;Seberapa puas Anda dengan fasilitas toilet di Binus Malang?;Seberapa puas anda dengan seluruh fasilitas Binus Malang?
Computer Science;Motor pribadi;Parkir penuh, Antri keluar masuk;Aman;Tidak;4;Lift;Lebih cepat;4;Di luar kampus;Lebih banyak variasi, Kebersihan, Tidak antri;4;Ya;Ketersediaan jam yang bisa di booking kurang, Durasi booking discussion terlalu pendek, Discussion room yang di booking tapi tidak digunakan;5;Belum;3;Sudah;Sudah;6;5
Computer Science;Motor pribadi;Parkir penuh, Antri keluar masuk;Aman;Tidak;5;Lift;Lebih cepat;5;Di luar kampus;Lebih banyak variasi, Kebersihan;5;Ya;Jumlahnya ruangan sedikit, Ketersediaan jam yang bisa di booking kurang, Discussion room yang di booking tapi tidak digunakan;5;Belum;4;Sudah;Sudah;5;5
Computer Science;Motor pribadi;Parkir penuh, Antri keluar masuk;Aman;Tidak;5;Tangga Biasa;Tidak mau menunggu/antri;4;Di dalam kampus;Lebih dekat, Tidak antri;5;Ya;Jumlahnya ruangan sedikit, Ketersediaan jam yang bisa di booking kurang, Discussion room yang di booking tapi tidak digunakan;5;Belum;4;Sudah;Sudah;6;5
Visual Communication Design;Jalan kaki;Parkir penuh, Antri keluar masuk;Aman;Tidak;5;Lift;Lebih cepat;5;Di dalam kampus;Lebih murah, Lebih dekat;4;Ya;Ketersediaan jam yang bisa di booking kurang, Durasi booking discussion terlalu pendek;5;Sudah;4;Sudah;Sudah;6;4
Computer Science;Motor pribadi;Parkir penuh, Antri keluar masuk;Aman;Tidak;5;Lift;Lebih cepat;5;Di dalam kampus;Lebih banyak variasi, Lebih dekat;5;Ya;Ketersediaan jam yang bisa di booking kurang, Discussion room yang di booking tapi tidak digunakan, Tidak ada fitur bisa di cancel;5;Belum;3;Sudah;Sudah;5;5
Visual Communication Design;Motor pribadi;Parkir penuh, Antri keluar masuk;Aman;Iya;4;Lift;Lebih nyaman digunakan;4;Di dalam kampus;Lebih banyak variasi, Kebersihan;5;Ya;Ketersediaan jam yang bisa di booking kurang, Discussion room yang di booking tapi tidak digunakan;5;Sudah;4;Sudah;Sudah;5;5
Visual Communication Design;Mobil pribadi;Parkir penuh, Antri keluar masuk;Aman;Iya;4;Tangga Darurat;Tidak mau menunggu/antri;5;Di dalam kampus;Kebersihan, Lebih dekat;4;Ya;Ketersediaan jam yang bisa di booking kurang, Durasi booking discussion terlalu pendek;4;Sudah;4;Sudah;Sudah;5;4
Visual Communication Design;Motor pribadi;Parkir penuh, Antri keluar masuk;Aman;Tidak;3;Lift;Tidak mau menunggu/antri;4;Di dalam kampus;Lebih murah, Lebih dekat;5;Ya;Ketersediaan jam yang bisa di booking kurang, Tidak ada fitur bisa di cancel;4;Sudah;4;Sudah;Sudah;6;4
Computer Science;Mobil pribadi;Antri keluar masuk, Tempatnya terbuka;Aman;Iya;4;Tangga Darurat;Tidak mau menunggu/antri;4;Di luar kampus;Lebih banyak variasi, Tidak antri;4;Tidak;Jumlahnya ruangan sedikit, Ketersediaan jam yang bisa di booking kurang, Discussion room yang di booking tapi tidak digunakan;4;Belum;2;Sudah;Sudah;5;4
Visual Communication Design;Jalan kaki;Antri keluar masuk, Tempatnya terbuka;Aman;Tidak;4;Tangga Biasa;Lebih nyaman digunakan;4;Di dalam kampus;Kebersihan, Lebih murah;5;Tidak;Discussion room yang di booking tapi tidak digunakan, Ukuran terlalu kecil;5;Sudah;5;Sudah;Sudah;4;5
Visual Communication Design;Motor pribadi;Parkir penuh, Antri keluar masuk;Aman;Iya;4;Lift;Lebih nyaman digunakan;5;Di dalam kampus;Kebersihan, Lebih dekat;5;Ya;Jumlahnya ruangan sedikit, Discussion room yang di booking tapi tidak digunakan;5;Sudah;4;Sudah;Sudah;6;4
Computer Science;Mobil pribadi;Parkir penuh, Antri keluar masuk;Aman;Iya;4;Lift;Lebih nyaman digunakan;6;Di dalam kampus;Lebih murah, Lebih dekat;6;Tidak;Jumlahnya ruangan sedikit, Ketersediaan jam yang bisa di booking kurang, Durasi booking discussion terlalu pendek;5;Belum;1;Sudah;Sudah;5;4
Computer Science;Motor pribadi;Parkir penuh, Jarak dari tempat parkir ke kampus;Aman;Iya;5;Tangga Biasa;Tidak mau menunggu/antri;5;Di dalam kampus;Lebih murah, Lebih dekat;6;Ya;Ketersediaan jam yang bisa di booking kurang, Durasi booking discussion terlalu pendek, Ukuran terlalu kecil;4;Sudah;5;Sudah;Sudah;6;6
Computer Science;Mobil pribadi;Parkir penuh, Antri keluar masuk;Aman;Iya;4;Tangga Biasa;Tidak mau menunggu/antri;6;Di dalam kampus;Lebih murah, Lebih dekat;6;Ya;Ketersediaan jam yang bisa di booking kurang, Durasi booking discussion terlalu pendek, Ukuran terlalu kecil;5;Belum;4;Sudah;Sudah;5;6
Computer Science;Mobil pribadi;Parkir penuh, Antri keluar masuk;Aman;Iya;2;Lift;Lebih cepat;4;Di luar kampus;Lebih banyak variasi, Lebih murah, Tidak antri;2;Tidak;Jumlahnya ruangan sedikit, Ketersediaan jam yang bisa di booking kurang, Durasi booking discussion terlalu pendek;4;Belum;1;Sudah;Sudah;5;3
Computer Science;Motor pribadi;Parkir penuh, Antri keluar masuk;Aman;Tidak;4;Tangga Biasa;Tidak mau menunggu/antri;4;Di dalam kampus;Lebih banyak variasi, Lebih dekat;4;Ya;Ketersediaan jam yang bisa di booking kurang, Discussion room yang di booking tapi tidak digunakan;4;Belum;3;Sudah;Sudah;5;4
Computer Science;Jalan kaki;Tempatnya terbuka, Metode pembayaran;Aman;Iya;4;Tangga Biasa;Lebih cepat;5;Di dalam kampus;Lebih banyak variasi, Lebih murah, Lebih dekat;5;Ya;Jumlahnya ruangan sedikit, Ketersediaan jam yang bisa di booking kurang, Durasi booking discussion terlalu pendek;4;Sudah;5;Sudah;Sudah;5;5
Computer Science;Motor pribadi;Parkir penuh, Tempatnya terbuka;Aman;Iya;4;Tangga Darurat;Lebih cepat;6;Di dalam kampus;Lebih banyak variasi, Lebih dekat;5;Ya;Jumlahnya ruangan sedikit, Durasi booking discussion terlalu pendek, Ukuran terlalu kecil;6;Sudah;6;Sudah;Sudah;6;6
Computer Science;Jalan kaki;Tidak pernah menggunakan fasilitas parkir Binus;Aman;Tidak;5;Tangga Biasa;Tidak mau menunggu/antri;4;Di dalam kampus;Lebih murah, Lebih dekat;5;Ya;Ketersediaan jam yang bisa di booking kurang, Discussion room yang di booking tapi tidak digunakan, Tidak ada fitur bisa di cancel;5;Belum;3;Sudah;Sudah;5;5
Computer Science;Motor pribadi;Parkir penuh, Antri keluar masuk;Aman;Iya;3;Lift;Lebih nyaman digunakan;5;Di dalam kampus;Lebih banyak variasi, Lebih murah, Lebih dekat;6;Ya;Jumlahnya ruangan sedikit, Ketersediaan jam yang bisa di booking kurang, Durasi booking discussion terlalu pendek;6;Sudah;6;Sudah;Sudah;6;6
Computer Science;Motor pribadi;Parkir penuh, Tempatnya terbuka;Aman;Iya;4;Tangga Biasa;Tidak mau menunggu/antri;5;Di dalam kampus;Lebih banyak variasi, Lebih murah;4;Ya;Durasi booking discussion terlalu pendek, Discussion room yang di booking tapi tidak digunakan, Ukuran terlalu kecil;5;Sudah;6;Sudah;Sudah;6;4
Computer Science;Motor pribadi;Parkir penuh, Metode pembayaran;Aman;Iya;4;Lift;Lebih nyaman digunakan;5;Di dalam kampus;Lebih murah, Lebih dekat;6;Ya;Jumlahnya ruangan sedikit, Ketersediaan jam yang bisa di booking kurang, Durasi booking discussion terlalu pendek;5;Belum;3;Sudah;Sudah;6;5
Computer Science;Motor pribadi;Parkir penuh, Antri keluar masuk;Tidak Aman;Iya;4;Lift;Lebih cepat;5;Di dalam kampus;Lebih banyak variasi, Lebih dekat;5;Ya;Jumlahnya ruangan sedikit, Durasi booking discussion terlalu pendek, Discussion room yang di booking tapi tidak digunakan;6;Sudah;5;Sudah;Sudah;6;5
Computer Science;Motor pribadi;Parkir penuh, Antri keluar masuk;Aman;Tidak;5;Tangga Darurat;Tidak mau menunggu/antri;5;Di dalam kampus;Lebih banyak variasi, Lebih dekat;5;Ya;Ketersediaan jam yang bisa di booking kurang, Durasi booking discussion terlalu pendek, Discussion room yang di booking tapi tidak digunakan;5;Belum;4;Sudah;Sudah;5;5
Computer Science;Mobil pribadi;Antri keluar masuk, Tempatnya terbuka;Aman;Iya;4;Lift;Lebih cepat;4;Di luar kampus;Lebih banyak variasi, Kebersihan;4;Tidak;Discussion room yang di booking tapi tidak digunakan;5;Belum;3;Sudah;Sudah;5;5
